ID	gsl.6mSOh.blup	gsl.1moIM.blup	gsl.S2hBuen.blup	gsl.4mSOb.blup	gsl.1hIM.blup	gsl.8MTO.blup	gsl.new.1.blup	gsl.3boP.blup	gsl.Peen.blup	gsl.3mSOp.blup	gsl.4boP.blup	gsl.R2hBuen.blup	gsl.5boP.blup	gsl.PE.blup	gsl.iBu.blup	gsl.4moIM.blup	gsl.new.2.blup	gsl.XhBz.blup	gsl.7mSh.blup	gsl.IM.blup	gsl.5mSOp.blup	gsl.2hPeen.blup	gsl.7mSOh.blup	gsl.XhPE.blup	gsl.Buen.blup	gsl.8mSOo.blup	gsl.Pren.blup
1_10	-0.10378080217662	-0.0751339732860615	-0.0578428599449924	-0.300208742615498	0.077253056193512	-0.206625761010284	-0.524184641716572	-0.0391195102096947	-0.181437098180681	-0.0410251373102496	0.0217649773213351	-0.0555230601424653	-0.105980300791318	0.217191980443113	-0.159866537412552	-0.145127553390322	-0.767629074139617	0.0559475749687145	-0.191699443639973	-0.0761781460110524	-0.40261940246969	-0.0748654445447307	-0.067859424780561	-0.0822583923525852	-0.139605530804223	-0.0986090578121698	0.258700789337652
1_105	0.0624983679230627	-0.117395261563078	-0.0107530760911941	-0.160254716816987	-0.111490394318677	-0.037439399451575	-0.500771683711268	-0.0205410935920292	-0.317796847491078	0.18547671698021	0.0393037164604407	-0.0208206272303361	0.0301490260953763	0.378507240657859	-0.112071634948183	0.124764301195811	-0.333304391057919	0.344871407994473	0.0821407580007577	-0.00867177550250686	-0.29847633488198	-0.214869394052159	0.0480908931272939	-0.137969659208563	-0.115679984349335	0.0614479071337133	0.425076377270521
1_106	-0.0858048297455125	-0.159633884783806	-0.0964243943297595	-0.236198997173187	-0.0361194849710611	-0.0472619091606154	-0.563651309077523	-0.0690310955042021	-0.326351987476779	0.115143824982793	-0.0383020412772886	-0.0605365916893673	0.060718573974061	0.342028770054467	-0.115220599071753	0.177278207744739	-0.428681899958043	0.176477231324352	-0.0428330676301978	-0.132252961345259	-0.207091153441081	-0.315105818645832	-0.0217688542283834	-0.141722160263292	-0.181805669077712	0.0219500072862608	0.343448567382133
1_109	-0.130196724983062	0.092342114980066	-0.0392017522604668	-0.169840959299715	0.0951805215061118	0.154819039201068	-0.29439548388191	0.0251777180455143	-0.238055692971767	0.145530584276779	0.0364874145625294	0.00014363911955392	0.0842575841468434	0.302409690292313	-0.0978599983448603	0.071070570727889	-0.222565624929185	0.242741435284786	0.0893165934122802	0.0338872146868409	-0.350047741522032	-0.169492504456772	-0.00744074891828775	-0.156457531272814	-0.0803933751168799	0.137216706663466	0.441960472465621
1_110	0.0819223030916275	-0.0266556630229461	0.0196662584131255	-0.169493834257765	0.265681290011022	0.0726429628857486	-0.547680712855919	0.016348909219819	-0.0253206071434975	-0.222932590134946	-0.0689371619912764	0.0300879027214687	-0.0261941497513302	0.330373055477896	-0.0811268928034714	0.145230880222536	-0.295078234325313	0.245072393910117	0.00735342270390914	0.146141428682569	-0.0630499137122102	0.0345158770976254	0.06874157821005	-0.0490955351285921	-0.0527460326532803	0.0225390555755904	-0.753475721838961
1_111	-0.109850675987256	-0.0136649645579901	-0.0765716257117433	-0.0888709421042121	-0.0922618749380806	-0.00720501636991024	-0.688864872522559	-0.0537189518919937	-0.33173271625121	0.166770519160566	-0.015613830290413	-0.0840405075470266	0.0736993398469439	0.263219857320018	-0.122257613007189	-0.154031038248906	-0.50096909648583	0.143321217102874	0.00465843510071298	-0.09145749124692	-0.241383720073452	-0.278905944846665	-0.0276967009370839	-0.11930110441786	-0.145983599869012	0.120001843207864	0.365586919218447
1_112	0.176692629299072	0.12982258370957	0.0796947481072867	0.0638432695853184	0.101911330961966	0.249622655891517	0.0895246018029638	0.0946657916556845	0.302459274386324	-0.287936865626169	0.0440658414790787	0.0745993867505401	0.00250117974657019	0.215906777873805	0.0643260328104301	-0.00625549064469572	0.0447231670063889	0.191211740859053	0.258109812355055	0.181031353499969	0.152718854638798	0.233342064757265	0.204634368738407	-0.169617614658205	0.0757378078906712	0.164950720925626	-0.88671938683006
1_114	0.0185254512651147	0.00102157505526913	-0.0352204635481804	-0.235627363961781	-0.0121053997794654	-0.0314724285635307	-0.511807171454154	0.099180558534786	-0.125706797025509	0.165282522257288	0.0140203513554375	-0.0244758869999563	0.0265148152361197	0.213892247332501	-0.121787433992794	0.0372713491175194	-0.620882758335886	0.136856152492681	-0.102122854614497	0.0458541683234027	-0.0781276228859933	0.0513949908316005	0.0559680868630134	-0.190806487869381	-0.131718698544451	0.081048298170275	0.322260111630486
1_115	0.042683217509891	0.0488919597096128	-0.0457465493205919	-0.275007913172982	-0.021106191064363	0.126170490044671	-0.628714166220752	-0.0485438004527102	-0.357939754572057	0.00611688310773518	-0.102078555408603	-0.0414998756216261	0.0177718339367671	0.302252827497086	-0.0813306435847112	-0.00926864686256279	-0.605150995046451	0.201541058802174	0.0887834758436942	-0.0611769019535615	-0.455461174419187	-0.191964595855848	-0.0265350560911648	-0.176536899372355	-0.105543593117866	0.0023560290507797	0.469240327431036
1_116	0.0819794008801199	0.0318523486471258	0.0331400091581513	-0.153893361207421	-0.123572564065274	0.0791875057576678	0.602321828787131	0.018346816061808	0.157806713876199	-0.258719518166732	0.0721787545870004	0.0303877040511346	0.00571158758370659	-0.237312659508807	0.0986798753075552	0.0645086928201962	0.641755636588626	0.039186928671687	0.114143407798495	-0.131464304860049	0.0245399313180247	0.131654335311629	0.00683184553651744	-0.0300926454045569	0.0493983504209595	0.0182851225949613	-0.176454150637315
